InvoiceNo,Date,StoreID,ProductID,Category,Quantity,UnitPrice,Discount,CostPerUnit,CustomerType,PaymentMode
INV1000061,2024-06-09 23:47:05,STR015,PRD0034,Clothing,3,4045.23,10,2046.41,Returning,Digital
INV1000062,2025-06-25 07:58:05,STR005,PRD0008,Clothing,3,1246.65,10,244.78,New,Card
INV1000063,2024-02-11 02:42:05,STR045,PRD0052,Accessories,5,9443.96,5,498.16,Returning,Cash
INV1000064,2025-10-09 06:57:05,STR044,PRD0108,Shoes,4,6995.72,0,958.33,Returning,Cash
INV1000065,2025-02-09 04:32:05,STR034,PRD0084,Shoes,6,3984.05,30,1645.62,Returning,Card
INV1000066,2024-09-11 04:05:05,STR043,PRD0014,Clothing,4,4359.8,10,445.26,New,Cash
INV1000067,2023-11-22 04:35:05,STR017,PRD0042,Accessories,8,1424.44,20,207.46,New,Card
INV1000068,2024-08-20 01:48:05,STR040,PRD0097,Shoes,2,4389.15,0,1946.43,Returning,Card
INV1000069,2024-04-30 22:15:05,STR008,PRD0004,Clothing,1,4879.16,0,546.92,Returning,Cash
INV1000070,2024-09-14 02:25:05,STR008,PRD0060,Accessories,3,9486.49,0,869.47,Returning,Digital
INV1000071,2024-04-08 06:44:05,STR036,PRD0019,Clothing,2,2226.14,5,1914.31,Returning,Digital
INV1000072,2024-09-21 07:17:05,STR022,PRD0101,Shoes,5,4455.71,0,137.43,Returning,Cash
INV1000073,2025-03-01 08:00:05,STR035,PRD0062,Accessories,3,3647.7,5,1343.33,New,Card
INV1000074,2024-12-15 00:22:05,STR050,PRD0053,Accessories,6,723.38,10,666.7,New,Digital
INV1000075,2025-03-01 18:26:05,STR022,PRD0112,Shoes,2,1522.63,0,683.31,Returning,Digital
INV1000076,2025-01-01 03:45:05,STR005,PRD0061,Accessories,7,7880.8,10,1793.98,Returning,Card
INV1000077,2025-08-28 04:38:05,STR049,PRD0063,Accessories,2,8762.12,0,943.2,Returning,Digital
INV1000078,2024-05-09 04:59:05,STR028,PRD0013,Clothing,1,3921.66,0,162.69,New,Digital
INV1000079,2025-06-22 04:30:05,STR019,PRD0046,Accessories,1,3935.96,5,465.42,New,Card
INV1000080,2024-07-15 01:20:05,STR025,PRD0080,Accessories,2,6926.41,5,568.06,Returning,Card
INV1000081,2024-11-08 02:59:05,STR030,PRD0037,Clothing,6,3549.25,5,1446.59,Returning,Card
INV1000082,2025-06-30 22:24:05,STR025,PRD0110,Shoes,2,4279.1,5,1711.24,New,Digital
INV1000083,2024-01-10 08:18:05,STR026,PRD0036,Clothing,5,536.44,15,1316.64,Returning,Digital
INV1000084,2024-06-02 02:56:05,STR050,PRD0103,Shoes,5,2456.85,0,1563.76,Returning,Card
INV1000085,2025-02-13 18:17:05,STR009,PRD0081,Shoes,2,1499.58,0,1226.08,New,Cash
INV1000086,2024-11-29 02:12:05,STR048,PRD0054,Accessories,4,2003.71,5,1603.08,Returning,Digital
INV1000087,2024-02-05 20:28:05,STR019,PRD0096,Shoes,2,7066.86,5,925.48,Returning,Digital
INV1000088,2025-02-27 23:23:05,STR024,PRD0012,Clothing,4,4058.07,5,854.04,Returning,Digital
INV1000089,2025-06-16 23:38:05,STR024,PRD0014,Clothing,4,3536.76,10,472.34,New,Cash
INV1000090,2023-12-28 22:11:05,STR030,PRD0090,Shoes,2,2975.77,0,182.57,Returning,Cash
INV1000091,2025-01-23 03:27:05,STR030,PRD0048,Accessories,5,6803.72,25,689.24,Returning,Card
INV1000092,2024-12-03 21:08:05,STR032,PRD0079,Accessories,4,4258.72,0,712.23,New,Card
INV1000093,2024-03-25 07:32:05,STR035,PRD0083,Shoes,4,3382.45,0,1161.38,New,Cash
INV1000094,2024-03-28 06:16:05,STR041,PRD0077,Accessories,1,9719.61,0,1507.29,New,Digital
INV1000095,2024-04-20 06:37:05,STR014,PRD0076,Accessories,3,2394.73,0,977.65,New,Digital
INV1000096,2023-12-16 19:40:05,STR009,PRD0070,Accessories,5,2731.35,10,529.45,New,Cash
INV1000097,2024-11-25 02:17:05,STR048,PRD0054,Accessories,3,5403.03,5,2064.35,Returning,Cash
INV1000098,2025-03-25 07:05:05,STR043,PRD0067,Accessories,4,3225.81,0,565.88,Returning,Card
INV1000099,2024-03-28 22:19:05,STR029,PRD0010,Clothing,3,4546.7,0,145.47,Returning,Digital
INV1000100,2025-11-07 19:34:05,STR039,PRD0068,Accessories,5,3160.51,5,161.35,Returning,Cash
INV1000101,2025-01-30 23:22:05,STR022,PRD0106,Shoes,3,4065.19,0,1273.54,Returning,Card
INV1000102,2024-12-06 05:48:05,STR031,PRD0009,Clothing,5,910.51,5,752.11,Returning,Card
INV1000103,2024-09-10 02:59:05,STR043,PRD0097,Shoes,2,3845.15,0,2324.08,New,Card
INV1000104,2025-06-11 22:47:05,STR010,PRD0085,Shoes,2,4271.76,0,978.17,Returning,Digital
INV1000105,2023-12-17 03:39:05,STR036,PRD0099,Shoes,8,6692.67,10,2033.41,New,Digital
INV1000106,2025-09-23 23:44:05,STR020,PRD0044,Accessories,1,3704.93,0,567.02,Returning,Digital
INV1000107,2024-04-29 22:59:05,STR006,PRD0096,Shoes,3,4619.48,5,784.22,Returning,Digital
INV1000108,2024-01-10 03:45:05,STR039,PRD0011,Clothing,4,4475.04,15,444.4,Returning,Card
INV1000109,2025-02-02 18:58:05,STR029,PRD0054,Accessories,6,2949.72,0,2071.32,Returning,Card
INV1000110,2024-04-09 05:56:05,STR039,PRD0008,Clothing,2,534.59,0,244.12,Returning,Cash
INV1000111,2025-04-16 02:33:05,STR048,PRD0056,Accessories,4,2004.24,10,1197.1,Returning,Cash
INV1000112,2024-10-06 03:07:05,STR048,PRD0006,Clothing,6,2462.99,0,1363.42,New,Card
INV1000113,2024-11-24 19:07:05,STR021,PRD0022,Clothing,5,4105.95,15,1493.87,Returning,Card
INV1000114,2025-04-26 03:47:05,STR020,PRD0096,Shoes,5,3244.5,0,769.98,New,Digital
INV1000115,2024-03-04 19:56:05,STR023,PRD0094,Shoes,1,7699.21,0,954.59,New,Cash
INV1000116,2025-06-20 06:17:05,STR005,PRD0023,Clothing,2,4780.81,5,784.68,Returning,Digital
INV1000117,2024-10-08 20:08:05,STR042,PRD0082,Shoes,3,7903.03,25,556.83,Returning,Card
INV1000118,2024-01-17 23:33:05,STR004,PRD0046,Accessories,2,5221.17,5,501.18,Returning,Digital
INV1000119,2024-01-02 01:38:05,STR006,PRD0079,Accessories,3,6062.57,5,575.4,Returning,Card
INV1000120,2024-02-15 02:21:05,STR010,PRD0008,Clothing,2,2527.35,15,298.17,New,Card
INV1000121,2024-09-05 00:06:05,STR029,PRD0068,Accessories,2,5370.66,0,139.02,Returning,Cash
INV1000122,2024-08-05 05:34:05,STR022,PRD0009,Clothing,3,1983.61,0,922.56,Returning,Card
INV1000123,2024-10-03 04:24:05,STR010,PRD0043,Accessories,7,1090.57,20,567.89,New,Digital
INV1000124,2024-03-30 04:24:05,STR006,PRD0040,Clothing,5,3015.15,0,1265.67,Returning,Cash
INV1000125,2024-06-26 23:29:05,STR043,PRD0055,Accessories,2,5232.34,0,1074.72,New,Digital
INV1000126,2025-05-26 07:27:05,STR010,PRD0010,Clothing,3,1831.06,5,174.66,New,Card
INV1000127,2025-10-30 06:19:05,STR050,PRD0080,Accessories,3,1571.18,0,540.55,New,Card
INV1000128,2025-02-21 21:14:05,STR047,PRD0031,Clothing,5,4863.15,15,1705.81,Returning,Digital
INV1000129,2024-09-04 06:04:05,STR013,PRD0048,Accessories,3,6879.58,5,645.84,Returning,Digital
INV1000130,2025-03-27 07:03:05,STR013,PRD0103,Shoes,3,5153.58,0,1603.42,Returning,Digital
INV1000131,2025-02-23 08:12:05,STR034,PRD0109,Shoes,2,1697.68,0,801.94,Returning,Cash
INV1000132,2025-04-17 22:55:05,STR029,PRD0114,Shoes,2,3317.01,0,356.24,Returning,Card
INV1000133,2023-12-29 22:38:05,STR007,PRD0108,Shoes,4,5945.87,0,865.04,Returning,Cash
INV1000134,2025-08-05 02:07:05,STR006,PRD0003,Clothing,1,1651.66,5,705.97,Returning,Cash
INV1000135,2024-01-23 19:33:05,STR008,PRD0007,Clothing,3,1572.98,10,1894.92,Returning,Card
INV1000136,2024-05-30 04:22:05,STR019,PRD0055,Accessories,1,315.17,5,1252.89,Returning,Card
INV1000137,2024-12-24 07:10:05,STR034,PRD0070,Accessories,4,5221.08,5,727.61,New,Cash
INV1000138,2025-07-08 05:28:05,STR005,PRD0045,Accessories,2,2638.92,0,267.42,New,Card
INV1000139,2025-11-02 01:20:05,STR022,PRD0105,Shoes,4,5428.13,10,687.18,New,Cash
INV1000140,2025-05-30 00:56:05,STR013,PRD0114,Shoes,1,1101.72,5,515.61,Returning,Cash
INV1000141,2024-03-27 06:03:05,STR023,PRD0111,Shoes,1,6422.06,0,2022.25,Returning,Digital
INV1000142,2025-05-04 22:31:05,STR025,PRD0044,Accessories,3,9745.12,5,648.85,Returning,Card
INV1000143,2024-09-17 22:08:05,STR012,PRD0070,Accessories,3,3149.53,0,511.95,Returning,Cash
INV1000144,2025-02-07 22:20:05,STR029,PRD0006,Clothing,2,3770.66,10,1613.88,Returning,Card
INV1000145,2025-10-15 06:08:05,STR048,PRD0087,Shoes,3,1951.9,15,1621.11,New,Digital
INV1000146,2025-10-16 01:03:05,STR024,PRD0047,Accessories,5,4013.69,10,299.75,Returning,Card
INV1000147,2024-03-15 18:27:05,STR034,PRD0047,Accessories,1,4160.93,0,309.37,Returning,Card
INV1000148,2025-08-07 22:24:05,STR036,PRD0016,Clothing,2,1678.0,5,1026.52,New,Cash
INV1000149,2025-10-19 07:00:05,STR005,PRD0058,Accessories,8,1974.77,30,1612.11,Returning,Cash
INV1000150,2024-05-17 06:03:05,STR020,PRD0109,Shoes,4,1934.04,10,1042.72,New,Digital
INV1000151,2024-12-02 01:31:05,STR009,PRD0031,Clothing,4,4056.68,5,1324.01,New,Card
INV1000152,2025-06-30 18:48:05,STR046,PRD0093,Shoes,2,4246.39,5,1547.68,Returning,Card
INV1000153,2025-09-06 02:51:05,STR044,PRD0067,Accessories,3,3641.79,15,616.1,Returning,Digital
INV1000154,2025-11-15 21:02:05,STR008,PRD0067,Accessories,9,1784.25,0,463.4,New,Digital
INV1000155,2025-07-19 02:49:05,STR041,PRD0039,Clothing,4,3264.93,10,1454.72,Returning,Digital
INV1000156,2024-02-11 18:21:05,STR022,PRD0108,Shoes,6,7452.29,20,756.1,Returning,Card
INV1000157,2024-09-25 00:55:05,STR041,PRD0004,Clothing,3,2741.17,0,550.76,Returning,Card
INV1000158,2024-11-03 02:49:05,STR045,PRD0008,Clothing,8,1211.36,5,256.23,Returning,Cash
INV1000159,2024-07-30 19:46:05,STR036,PRD0014,Clothing,1,1936.02,0,471.38,New,Card
INV1000160,2024-10-21 08:16:05,STR040,PRD0054,Accessories,5,2708.22,0,2154.3,New,Cash
INV1000161,2024-12-27 02:09:05,STR033,PRD0060,Accessories,3,5137.97,0,758.09,New,Cash
INV1000162,2023-11-29 06:46:05,STR039,PRD0113,Shoes,4,6868.52,0,1123.65,Returning,Digital
INV1000163,2025-06-08 21:44:05,STR024,PRD0006,Clothing,4,2302.62,0,1424.69,Returning,Card
INV1000164,2024-12-07 06:01:05,STR040,PRD0088,Shoes,5,5199.51,0,909.45,Returning,Card
INV1000165,2025-05-05 00:49:05,STR003,PRD0006,Clothing,4,675.11,15,1504.12,Returning,Cash
INV1000166,2024-09-22 03:01:05,STR040,PRD0041,Accessories,6,1876.27,10,1721.02,Returning,Digital
INV1000167,2025-01-20 02:59:05,STR020,PRD0061,Accessories,4,8212.76,10,1875.83,Returning,Cash
INV1000168,2024-01-12 03:10:05,STR042,PRD0101,Shoes,1,7798.81,0,125.64,New,Card
INV1000169,2025-01-16 04:53:05,STR045,PRD0015,Clothing,3,1358.53,5,1303.3,Returning,Digital
INV1000170,2025-05-12 00:00:05,STR009,PRD0067,Accessories,2,2311.21,10,497.74,Returning,Card
INV1000171,2025-10-29 22:19:05,STR035,PRD0046,Accessories,4,6855.93,10,622.05,Returning,Cash
INV1000172,2025-11-10 21:24:05,STR020,PRD0029,Clothing,7,4736.68,15,2040.15,Returning,Card
INV1000173,2024-12-29 07:02:05,STR047,PRD0036,Clothing,4,1795.05,5,1182.64,Returning,Cash
INV1000174,2025-05-24 22:39:05,STR029,PRD0084,Shoes,6,2646.4,0,1790.75,New,Cash
INV1000175,2024-07-15 17:46:05,STR016,PRD0032,Clothing,2,728.44,0,1727.41,Returning,Card
INV1000176,2024-04-30 00:21:05,STR044,PRD0099,Shoes,4,1789.76,25,2306.45,Returning,Cash
INV1000177,2025-09-18 02:54:05,STR019,PRD0042,Accessories,4,3068.53,15,154.08,Returning,Digital
INV1000178,2023-12-28 07:05:05,STR003,PRD0023,Clothing,6,2380.48,25,847.28,Returning,Cash
INV1000179,2025-09-07 02:13:05,STR037,PRD0078,Accessories,3,1340.82,0,1159.57,Returning,Card
INV1000180,2024-05-28 18:27:05,STR008,PRD0043,Accessories,2,1876.19,0,524.25,Returning,Card
INV1000181,2025-04-30 22:45:05,STR012,PRD0079,Accessories,3,8604.62,15,699.08,Returning,Cash
INV1000182,2024-08-19 22:59:05,STR021,PRD0032,Clothing,5,530.74,5,1417.26,Returning,Cash
INV1000183,2024-09-29 20:05:05,STR042,PRD0047,Accessories,3,7019.86,0,240.78,Returning,Digital
INV1000184,2024-07-03 20:48:05,STR045,PRD0016,Clothing,2,3374.2,0,1335.51,New,Digital
INV1000185,2025-10-01 06:53:05,STR027,PRD0090,Shoes,2,4754.49,5,187.31,Returning,Card
INV1000186,2025-04-20 21:16:05,STR024,PRD0010,Clothing,4,4627.6,15,132.32,New,Digital
INV1000187,2025-04-26 01:31:05,STR029,PRD0015,Clothing,2,3561.33,5,1450.6,New,Card
INV1000188,2024-08-07 06:40:05,STR036,PRD0060,Accessories,3,6825.85,0,757.97,New,Cash
INV1000189,2024-01-30 08:10:05,STR028,PRD0045,Accessories,2,7093.73,0,255.75,Returning,Digital
INV1000190,2024-12-16 01:35:05,STR050,PRD0083,Shoes,4,7844.0,5,1281.36,Returning,Card
INV1000191,2025-05-24 00:13:05,STR035,PRD0018,Clothing,3,3440.9,0,1145.34,Returning,Digital
INV1000192,2025-01-28 02:04:05,STR049,PRD0003,Clothing,2,4903.21,10,613.34,Returning,Cash
INV1000193,2025-01-23 03:29:05,STR013,PRD0113,Shoes,2,6020.17,15,888.34,New,Cash
INV1000194,2024-01-05 00:08:05,STR003,PRD0058,Accessories,1,6098.51,0,1606.12,Returning,Digital
INV1000195,2025-07-01 23:16:05,STR009,PRD0065,Accessories,5,9936.79,20,1520.5,Returning,Digital
INV1000196,2025-01-16 21:57:05,STR016,PRD0039,Clothing,1,4443.16,5,2074.75,Returning,Card
INV1000197,2025-05-10 23:24:05,STR032,PRD0007,Clothing,4,4875.31,10,2112.23,New,Card
INV1000198,2025-11-13 20:31:05,STR049,PRD0069,Accessories,4,4893.13,0,797.09,Returning,Card
INV1000199,2025-02-23 07:03:05,STR009,PRD0050,Accessories,4,2655.73,10,699.06,New,Card
INV1000200,2025-07-14 05:22:05,STR039,PRD0078,Accessories,4,683.61,15,805.75,New,Cash
INV1000201,2024-03-20 05:28:05,STR022,PRD0039,Clothing,4,4806.59,25,1400.45,Returning,Card
INV1000202,2024-09-05 00:09:05,STR046,PRD0027,Clothing,3,2284.84,0,247.42,Returning,Card
INV1000203,2025-03-15 06:33:05,STR024,PRD0066,Accessories,3,8863.28,15,1552.99,Returning,Card
INV1000204,2025-07-11 03:26:05,STR037,PRD0111,Shoes,1,2393.17,0,1514.27,New,Cash
INV1000205,2024-10-30 22:28:05,STR037,PRD0107,Shoes,4,2569.26,25,318.27,Returning,Digital
INV1000206,2025-09-07 18:13:05,STR009,PRD0093,Shoes,6,4735.13,20,1402.12,Returning,Card
INV1000207,2025-11-13 19:40:05,STR049,PRD0001,Clothing,4,2355.77,0,1495.08,New,Card
INV1000208,2025-01-14 17:41:05,STR040,PRD0062,Accessories,6,6695.06,5,1061.08,Returning,Cash
INV1000209,2024-05-21 19:38:05,STR033,PRD0105,Shoes,3,5824.59,25,590.11,Returning,Cash
INV1000210,2024-02-08 23:05:05,STR040,PRD0068,Accessories,3,2748.46,15,151.62,Returning,Cash
INV1000211,2023-12-22 19:05:05,STR044,PRD0106,Shoes,7,6904.64,20,1398.87,New,Cash
INV1000212,2025-06-22 06:46:05,STR011,PRD0011,Clothing,4,2749.36,15,501.79,New,Digital
INV1000213,2025-10-21 07:57:05,STR045,PRD0114,Shoes,6,4880.85,20,399.2,New,Digital
INV1000214,2024-02-06 21:50:05,STR014,PRD0076,Accessories,4,1698.66,15,960.95,Returning,Digital
INV1000215,2025-10-26 04:45:05,STR044,PRD0115,Shoes,8,4692.05,10,1748.78,New,Card
INV1000216,2024-10-19 18:20:05,STR005,PRD0044,Accessories,5,6170.14,5,679.43,New,Card
INV1000217,2025-08-14 22:31:05,STR025,PRD0056,Accessories,1,2101.66,0,1300.54,Returning,Cash
INV1000218,2024-10-09 22:46:05,STR010,PRD0049,Accessories,3,7203.27,10,1377.85,Returning,Card
INV1000219,2025-06-13 02:12:05,STR049,PRD0035,Clothing,2,960.04,5,683.98,New,Cash
INV1000220,2023-12-02 22:06:05,STR036,PRD0012,Clothing,5,3186.16,20,1180.8,Returning,Cash
INV1000221,2024-08-28 23:59:05,STR018,PRD0039,Clothing,2,1707.83,0,1491.2,Returning,Card
INV1000222,2024-03-08 19:59:05,STR016,PRD0093,Shoes,5,5300.24,0,1665.17,Returning,Card
INV1000223,2025-09-17 02:48:05,STR040,PRD0049,Accessories,2,8099.54,0,1218.63,Returning,Digital
INV1000224,2024-09-14 05:24:05,STR013,PRD0062,Accessories,6,3347.58,25,1560.55,Returning,Digital
INV1000225,2025-06-19 21:17:05,STR021,PRD0049,Accessories,3,3018.91,0,1457.34,New,Digital
INV1000226,2024-09-14 07:24:05,STR002,PRD0094,Shoes,2,4123.68,5,977.29,Returning,Cash
INV1000227,2024-12-10 19:08:05,STR020,PRD0031,Clothing,6,1637.07,5,1407.55,Returning,Digital
INV1000228,2025-05-23 03:20:05,STR045,PRD0054,Accessories,2,5573.36,0,2098.22,New,Cash
INV1000229,2025-09-13 00:28:05,STR011,PRD0083,Shoes,4,5211.28,10,1241.33,New,Cash
INV1000230,2024-07-04 01:03:05,STR015,PRD0066,Accessories,2,7544.47,10,1610.92,Returning,Card
INV1000231,2024-02-15 19:33:05,STR010,PRD0045,Accessories,3,9977.72,0,249.87,Returning,Card
INV1000232,2025-11-03 01:00:05,STR014,PRD0067,Accessories,3,4984.38,5,530.09,Returning,Cash
INV1000233,2024-07-27 01:51:05,STR022,PRD0083,Shoes,5,1587.41,20,1356.02,Returning,Card
INV1000234,2025-09-24 00:05:05,STR030,PRD0030,Clothing,1,4089.9,0,1311.81,Returning,Digital
INV1000235,2024-09-01 06:25:05,STR029,PRD0076,Accessories,3,4466.66,0,682.88,New,Digital
INV1000236,2025-05-14 04:00:05,STR021,PRD0026,Clothing,5,2558.98,20,669.23,Returning,Card
INV1000237,2025-10-10 05:31:05,STR008,PRD0045,Accessories,3,3714.25,0,247.36,Returning,Card
INV1000238,2025-07-22 20:16:05,STR008,PRD0024,Clothing,2,2179.88,0,338.69,Returning,Card
INV1000239,2024-10-08 07:08:05,STR042,PRD0023,Clothing,2,2997.11,0,743.38,Returning,Digital
INV1000240,2025-01-12 04:11:05,STR013,PRD0105,Shoes,6,3564.4,10,621.92,Returning,Cash
INV1000241,2025-05-23 21:50:05,STR002,PRD0102,Shoes,3,6279.61,0,1347.17,Returning,Digital
INV1000242,2025-05-30 07:03:05,STR032,PRD0071,Accessories,3,5254.82,0,515.44,Returning,Cash
INV1000243,2025-09-20 05:55:05,STR047,PRD0057,Accessories,2,5599.63,0,508.46,Returning,Card
INV1000244,2024-06-22 06:27:05,STR006,PRD0057,Accessories,6,8693.32,15,360.09,Returning,Digital
INV1000245,2024-06-19 05:43:05,STR041,PRD0055,Accessories,3,1910.02,0,1139.16,Returning,Cash
INV1000246,2024-08-20 07:12:05,STR035,PRD0022,Clothing,3,1956.44,0,1542.9,Returning,Cash
INV1000247,2025-09-21 20:24:05,STR049,PRD0101,Shoes,1,3763.49,0,100.34,New,Card
INV1000248,2025-08-28 22:20:05,STR016,PRD0098,Shoes,2,6873.6,0,1057.88,Returning,Cash
INV1000249,2024-12-02 01:11:05,STR050,PRD0012,Clothing,4,2312.83,10,1166.11,Returning,Card
INV1000250,2024-07-01 00:32:05,STR043,PRD0090,Shoes,1,3379.2,5,156.42,Returning,Card
INV1000251,2024-11-06 08:23:05,STR019,PRD0044,Accessories,4,5608.91,20,553.82,Returning,Digital
INV1000252,2025-01-31 21:24:05,STR002,PRD0016,Clothing,2,4682.45,5,980.06,New,Digital
INV1000253,2025-09-14 19:43:05,STR018,PRD0012,Clothing,4,3445.65,0,954.32,Returning,Card
INV1000254,2025-03-22 18:48:05,STR015,PRD0055,Accessories,1,6658.21,0,1439.74,Returning,Card
INV1000255,2025-03-23 18:54:05,STR022,PRD0105,Shoes,3,1668.28,10,694.45,Returning,Cash
